# 微軟倉頡聯想詞詞表（多字詞），自官方 ChtChangjie.lex 解出
# columns: text <TAB> weight
# 44572 phrases
供奉	10589262
供應	10554556
供桌	10232366
供水	10653236
供求	10168392
供神	8834264
供稱	10763939
供給	10738098
供製	9255134
供詞	10682860
供認	10343069
供述	10436667
供銷	10391670
供需	10711107
供養	9922198
依仗	9501328
依依	10303882
依偎	10216993
依傍	8659587
依存	10447414
依序	10660778
依從	9080458
依循	10536430
依戀	9841120
依據	10763939
依樣	9993715
依次	10508184
依歸	10478559
依法	10614049
依然	10724752
依照	10744662
依物	9326651
依稀	10168392
依約	10637863
依舊	10682860
依賴	10704168
依附	10589262
依靠	10563420
侮蔑	10763939
侮辱	10343069
侯爵	10343069
侵佔	10601052
侵入	10441748
侵凌	9710711
侵占	10763939
侵吞	10377775
侵奪	9043647
侵害	10687942
侵擾	10306258
侵犯	10646050
侵略	10727129
侵蝕	10499620
侵襲	10552452
侷促	10763939
侷限	10343069
便中	9676005
便利	10763939
便士	10096876
便宜	10602608
便帽	10256180
便所	9786708
便捷	10677050
便於	10699966
便是	10743354
便有	10628449
便服	10419066
便條	9365838
便橋	10486601
便民	10653236
便溺	9961385
便當	10722048
便祕	9540515
便秘	10343069
便箋	9119644
便衣	10575617
便裝	10032902
便車	10453772
便道	10547370
便飯	8698774
便餐	10207579
係數	10763939
係為	10343069
促使	10682860
促成	10589262
促狹	9922198
促膝	10168392
促請	10343069
促進	9501328
促銷	10763939
俄人	10003277
俄共	9161536
俄國	10763939
俄帝	9582406
俄式	10249470
俄文	10495664
俄而	10138767
俄語	10617508
俄軍	9828600
俊俏	10517746
俊傑	9676005
俊材	10653236
俊秀	10763939
俊美	10343069
俊逸	10096876
俏皮	10763939
俏麗	10096876
俐落	10763939
俗事	10472748
俗人	10635635
俗例	10003277
俗務	10177954
俗化	10371315
俗名	10313444
俗士	10096876
俗套	10424148
俗樂	9757084
俗氣	10598824
俗物	9582406
俗稱	10517746
俗緣	10249470
俗艷	9336213
俗話	10559638
